time,type,estimate,num_kwh,kwh_price_no_vat,vat_percent,amount_with_vat
2016-11-19T02:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-19T02:00:00+00:00,consumption,False,3.000,0.291,25,0.872,1.090
2016-11-19T03:00:00+00:00,consumption,False,3.000,0.289,25,0.867,1.084
2016-11-19T03:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-19T04:00:00+00:00,consumption,False,3.000,0.289,25,0.867,1.083
2016-11-19T04:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-19T05:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-19T05:00:00+00:00,consumption,False,3.000,0.296,25,0.888,1.110
2016-11-19T06:00:00+00:00,consumption,False,3.000,0.310,25,0.931,1.164
2016-11-19T06:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-19T07:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-19T07:00:00+00:00,consumption,False,4.000,0.328,25,1.312,1.640
2016-11-19T08:00:00+00:00,consumption,False,3.000,0.333,25,0.999,1.248
2016-11-19T08:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-19T09:00:00+00:00,consumption,False,4.000,0.338,25,1.353,1.691
2016-11-19T09:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-19T10:00:00+00:00,consumption,False,3.000,0.338,25,1.014,1.268
2016-11-19T10:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-19T11:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-19T11:00:00+00:00,consumption,False,3.000,0.334,25,1.001,1.251
2016-11-19T12:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-19T12:00:00+00:00,consumption,False,6.000,0.330,25,1.982,2.478
2016-11-19T13:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-19T13:00:00+00:00,consumption,False,3.000,0.331,25,0.994,1.243
2016-11-19T14:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-19T14:00:00+00:00,consumption,False,4.000,0.343,25,1.374,1.717
2016-11-19T15:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-19T15:00:00+00:00,consumption,False,6.000,0.356,25,2.136,2.670
2016-11-19T16:00:00+00:00,consumption,False,6.000,0.359,25,2.152,2.690
2016-11-19T16:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-19T17:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-19T17:00:00+00:00,consumption,False,4.000,0.358,25,1.433,1.791
2016-11-19T18:00:00+00:00,consumption,False,4.000,0.347,25,1.387,1.734
2016-11-19T18:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-19T19:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-19T19:00:00+00:00,consumption,False,3.000,0.332,25,0.996,1.245
2016-11-19T20:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-19T20:00:00+00:00,consumption,False,4.000,0.325,25,1.299,1.623
2016-11-19T21:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-19T21:00:00+00:00,consumption,False,3.000,0.310,25,0.929,1.161
2016-11-19T22:00:00+00:00,consumption,False,4.000,0.301,25,1.202,1.503
2016-11-19T22:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-19T23:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-19T23:00:00+00:00,consumption,False,4.000,0.299,25,1.198,1.497
2016-11-20T00:00:00+00:00,elcert,False,2.000,0.020,25,0.040,0.050
2016-11-20T00:00:00+00:00,consumption,False,2.000,0.294,25,0.587,0.734
2016-11-20T01:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-20T01:00:00+00:00,consumption,False,3.000,0.292,25,0.877,1.096
